Ticker,Start_Price,End_Price,Yearly_Return,Volatility,Avg_Price,Avg_Volume
ADANIENT,2917.2,2228.0,-23.63,2.7894,3081.67,2223398.0
ADANIPORTS,1047.85,1136.75,8.48,2.5839,1366.1,4519222.0
APOLLOHOSP,5750.05,6935.1,20.61,1.4115,6442.4,430079.0
ASIANPAINT,3396.1,2472.2,-27.2,1.3412,2981.17,1307644.0
AXISBANK,1097.7,1142.4,4.07,1.6017,1149.85,9955070.0
BAJAJ-AUTO,6701.1,9481.65,41.49,1.8255,9375.16,506704.0
BAJAJFINSV,1676.4,1600.85,-4.51,1.4375,1658.68,1618846.0
BAJFINANCE,7299.05,6683.95,-8.43,1.653,6976.01,1210185.0
BEL,184.95,280.85,51.85,2.4814,257.1,31739040.0
BHARTIARTL,1013.05,1569.3,54.91,1.4409,1383.21,6578951.0
BPCL,226.03,285.85,26.47,2.3276,309.29,16640639.0
BRITANNIA,5319.8,4848.35,-8.86,1.3862,5389.58,352548.0
CIPLA,1251.0,1486.5,18.82,1.6666,1490.99,1843474.0
COALINDIA,381.8,414.05,8.45,2.2069,464.22,11812073.0
DRREDDY,1164.33,1214.45,4.3,1.2731,1265.43,2030585.0
EICHERMOT,4038.35,4986.2,23.47,1.5786,4485.71,653425.0
GRASIM,2118.88,2598.65,22.64,1.5256,2458.37,853303.0
HCLTECH,1483.75,1898.4,27.95,1.4336,1602.2,3138202.0
HDFCBANK,1698.1,1745.6,2.8,1.448,1583.8,21108991.0
HDFCLIFE,648.7,688.2,6.09,1.4953,641.66,4747215.0
HEROMOTOCO,4118.55,4794.1,16.4,1.6536,5032.36,735240.0
HINDALCO,610.4,652.1,6.83,2.0871,637.29,7396481.0
HINDUNILVR,2654.75,2445.25,-7.89,1.3009,2536.06,1965231.0
ICICIBANK,999.4,1278.05,27.88,1.3339,1151.71,15458745.0
INDUSINDBK,1598.85,998.2,-37.57,2.0504,1430.39,4024502.0
INFY,1551.35,1902.25,22.62,1.4662,1678.49,7116939.0
ITC,468.05,474.65,1.41,1.25,457.44,15320157.0
JSWSTEEL,877.6,977.35,11.37,1.7423,897.13,2296464.0
KOTAKBANK,1909.15,1761.45,-7.74,1.5211,1771.43,5894049.0
LT,3525.45,3603.5,2.21,1.8103,3572.61,2590744.0
M&M,1703.3,3012.95,76.89,2.0223,2433.53,3289144.0
MARUTI,10283.3,11063.6,7.59,1.4827,11957.65,578394.0
NESTLEIND,2737.24,2247.3,-17.9,1.2266,2507.78,957958.0
NTPC,309.75,365.45,17.98,2.0502,370.0,17478624.0
ONGC,205.35,245.6,19.6,2.4115,278.57,20466006.0
POWERGRID,238.25,336.95,41.43,2.0044,307.35,17787617.0
RELIANCE,1295.13,1265.4,-2.3,1.4618,1441.5,13014385.0
SBILIFE,1432.1,1485.15,3.7,1.5637,1570.4,1406456.0
SBIN,641.35,816.05,27.24,1.9014,783.81,18204953.0
SHRIRAMFIN,2048.85,2850.05,39.1,2.2073,2737.63,1483627.0
SUNPHARMA,1260.25,1795.3,42.46,1.2351,1622.35,2306764.0
TATACONSUM,1066.84,945.2,-11.4,1.5765,1122.09,1793061.0
TATAMOTORS,790.6,791.0,0.05,1.8511,956.46,12481857.0
TATASTEEL,139.85,142.78,2.1,1.9519,155.75,47759246.0
TCS,3811.1,4244.6,11.37,1.3409,4064.5,2411646.0
TECHM,1297.15,1747.45,34.71,1.6696,1432.37,2223250.0
TITAN,3677.15,3308.7,-10.02,1.4941,3519.53,1236407.0
TRENT,3002.1,6652.8,121.6,2.4524,5263.82,937838.0
ULTRACEMCO,10464.0,11375.3,8.71,1.458,10633.9,350258.0
WIPRO,477.15,571.65,19.81,1.8019,505.27,8228364.0
